INSTANCE_NAME,IP,MACHINE_TYPE,CPU,MEMORY,DISK,STATUS,PROJECT,ENV,ENGAGEMENT,COST_CENTER,Running_hours
jioengage-ludo-qa,10.2.3.52,e2-standard-2,2,8.0 GB,40 GB,RUNNING,jioengage,dev,ludo,bigticket-dev,308
jioengage-portal-app,10.3.16.52,custom-1-2048,1,2.0 GB,30 GB,RUNNING,jioengage,prod,portal,bigticket-prod,720
jioengage-portal-mongo,10.3.1.44,e2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,portal,bigticket-prod,720
jioengage-prod-bastion,10.3.5.2,n2-custom-2-4096,2,4.0 GB,1024 GB,RUNNING,jioengage,prod,bastion,bigticket-prod,720
jioengage-prod-bastion-bavama,10.7.6.3,n2-standard-8,8,32.0 GB,200 GB,TERMINATED,jioengage,prod,bastion,devops,720
jioengage-prod-idc-bastion,10.7.6.2,custom-1-2048,1,2.0 GB,200 GB,RUNNING,jcn,prod,bastion,jcn-prod,720
jioengage-prod-jiocricket-bavama-bastion,10.3.5.4,n2-standard-8,8,32.0 GB,200 GB,TERMINATED,jioengage,prod,bastion,devops,720
jioengage-sftp-server,10.3.17.183,n2-custom-2-4096,2,4.0 GB,900 GB,RUNNING,jioengage,prod,common,brand-prod,720
jioeva-cas-dev,10.143.16.37,n2-highcpu-4,4,4.0 GB,50 GB,RUNNING,hellojio,dev,eva,eva-preprod,308
jioeva-cas-dev-2,10.143.16.107,n2-highcpu-4,4,4.0 GB,50 GB,RUNNING,hellojio,dev,eva,eva-preprod,308
jioeva-cas-dev-3,10.143.16.57,n2-highcpu-4,4,4.0 GB,50 GB,RUNNING,hellojio,dev,eva,eva-preprod,308
jioeva-cas-dev-4,10.143.16.59,n2-highcpu-4,4,4.0 GB,50 GB,RUNNING,hellojio,dev,eva,eva-preprod,308
jioeva-cas-dev-5,10.143.31.202,n2-highcpu-4,4,4.0 GB,50 GB,RUNNING,hellojio,dev,eva,eva-preprod,308
jioeva-cas-dev-6,10.143.16.3,n2-highcpu-4,4,4.0 GB,50 GB,RUNNING,hellojio,dev,eva,eva-preprod,308
jioeva-cas-dev-7,10.143.16.16,n2-highcpu-4,4,4.0 GB,70 GB,RUNNING,hellojio,dev,eva,eva-preprod,308
jioeva-dev-bastion,10.102.8.2,n2-standard-2,2,8.0 GB,30 GB,RUNNING,hellojio,dev,,,308
jioeva-dev-elk-master,10.101.0.12,custom-4-32768-ext,4,32.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-elk-slave-1,10.101.0.11,custom-4-32768-ext,4,32.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-kafka-1,10.101.0.2,n2-standard-4,4,16.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-kafka-2,10.101.0.8,n2-standard-4,4,16.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-mongo-master,10.101.0.3,n2-standard-4,4,16.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-mongo-slave-1,10.101.0.10,n2-standard-4,4,16.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-rabbitmq-1,10.101.0.5,custom-4-8192,4,8.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-rabbitmq-2,10.101.0.9,custom-4-8192,4,8.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-redis-master,10.101.0.6,n2-standard-4,4,16.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-redis-slave-1,10.101.0.4,n2-standard-4,4,16.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-redis-slave-2,10.101.0.238,n2-standard-4,4,16.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-dev-storageviewer,10.101.0.7,n2-standard-2,2,8.0 GB,30 GB,RUNNING,,dev,,,308
jioeva-preprod-bastion,10.143.0.2,n2-custom-2-4096,2,4.0 GB,100 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-elk-master,10.143.8.15,n2-highmem-4,4,32.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-elk-slave-1,10.143.8.16,n2-highmem-4,4,32.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-elk-slave-2,10.143.8.17,n2-highmem-4,4,32.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-elk-slave-3,10.143.8.18,n2-highmem-4,4,32.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-freeswitch-1,10.143.8.19,n2-custom-8-16384,8,16.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-freeswitch-2,10.143.8.20,n2-custom-8-16384,8,16.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-glusterfs,10.143.16.2,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-kafka-zkp-1,10.143.8.3,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-kafka-zkp-2,10.143.8.4,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-kafka-zkp-mqsql,10.143.8.5,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-loadtesting-server,10.143.16.78,n2-custom-16-32768,16,32.0 GB,30 GB,TERMINATED,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-mongo-master,10.143.8.7,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-mongo-slave-1,10.143.8.8,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-mongo-slave-2,10.143.8.9,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-opensip-1,10.143.8.23,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-opensip-2,10.143.8.24,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-opensip-3,10.143.8.25,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-opensip-4,10.143.8.26,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-rabbitmq-1,10.143.8.10,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
